# 3C147
# Date 31Jan/01Feb 2019 polarization properties
# Reference flux densities were used
# Frequency  I       P.F.      P.A.
# (GHz)      (Jy)              (rad)
1.022        27.73   0.00028    N/A
1.465        21.36   0.00018    N/A
1.865        17.86   0.00021    N/A
2.565        13.79   0.00015    N/A
3.565        10.40   0.00052   -0.59515
4.885        7.88    0.00157   -0.23002
6.680        5.91    0.00514   -1.00103
8.435        4.81    0.00476   -0.33225
11.320       3.67    0.00849    0.46557
14.065       3.02    0.01791    0.91642
16.564       2.61    0.02400    1.04399
19.064       2.32    0.02904    1.14768
25.564       1.82    0.03432    1.37341
32.064       1.53    0.04033    1.43967
37.064       1.38    0.04470    1.52606
42.064       1.26    0.04943    1.51182
48.064       1.14    0.05956    1.48944
