# 3C196
# Date 31Jan/01Feb 2019 polarization properties
# Reference flux densities were used
# Frequency  I       P.F.        P.A.
# (GHz)      (Jy)                (rad)
1.022        18.94   0.00048     0.78540
1.465        13.75   0.00052     0.29400
1.865        11.05   0.00174     0.70710
2.565        8.14    0.00992     0.89138
3.565        5.86    0.02256    -1.36438
4.885        4.22    0.02499    -0.97477
6.680        3.00    0.01969    -0.71829
8.435        2.33    0.01602    -0.59490
11.320       1.67    0.01293    -0.51003
14.065       1.30    0.01254    -0.51098
16.654       1.08    0.01244    -0.48004
19.064       0.92    0.01278    -0.57629
25.564       0.66    0.01307    -0.42159
32.064       0.51    0.01165    -0.45858
37.064       0.43    0.00595    -0.26686
42.064       0.37    0.02809    -0.38925
48.064       0.31    N/A        N/A
