# 3C286 - values from R. Perley based on 3C286 
# Date 31Jan/01Feb 2019 polarization properties
# Reference flux densities were used
# Frequency  I        P.F.        P.A.
# (GHz)      (Jy)                 (rad)
1.022        17.46    0.08618     0.57632
1.465        14.64    0.09794     0.57261
1.865        13.03    0.10122     0.57613
2.565        10.85    0.10575     0.57580
3.565        8.94     0.11153     0.57624
4.885        7.33     0.11525     0.57503
6.680        5.97     0.11858     0.57758
8.435        5.12     0.12045     0.57827
11.320       4.12     0.12261     0.58412
14.065       3.54     0.12303     0.59534
16.564       3.15     0.12544     0.60172
19.064       2.85     0.12633     0.60286
25.564       2.30     0.12700     0.62198
32.064       1.92     0.13062     0.63170
37.064       1.73     0.13485     0.62791
42.064       1.57     0.13420     0.64589
48.064       1.44     0.14629     0.62153
