# polarization properties from Perley & Butler (2013, ApJs 206, 2)
# Frequency  P.F.       P.A.
# 	     3C48		3C138		3C147		3C286
#(GHz)	(%)	(Deg.)	%	Deg.	%	Deg.	%	Deg.
1.05	0.3	25	5.6	-14	<0.05	-	8.6	33
1.45	0.5	140	7.5	-11	<0.05	-	9.5	33
1.64	0.7	-5	8.4	-10	<0.04	-	9.9	33
1.95	0.9	-150	9.0	-10	<0.04	-	10.1	33
2.45	1.4	-120	10.4	-9	<0.05	-	10.5	33
2.95	2.0	-100	10.7	-10	<0.05	-	10.8	33
3.25	2.5	-92	10.0	-10	<0.05	-	10.9	33
3.75	3.2	-84	-	-	<0.04	-	11.1	33
4.50	3.8	-75	10.0	-11	0.1	-100	11.3	33
5.00	4.2	-72	10.4	-11	0.3	0	11.4	33
6.50	5.2	-68	9.8	-12	0.3	-65	11.6	33
7.25	5.2	-67	10.0	-12	0.6	-39	11.7	33
8.10	5.3	-64	10.4	-10	0.7	-24	11.9	34
8.80	5.4	-62	10.1	-8	0.8	-11	11.9	34
12.8	6.0	-62	8.4	-7	2.2	43	11.9	34
13.7	6.1	-62	7.9	-7	2.4	48	11.9	34
14.6	6.4	-63	7.7	-8	2.7	53	12.1	34
15.5	6.4	-64	7.4	-9	2.9	59	12.2	34
18.1	6.9	-66	6.7	-12	3.4	67	12.5	34
19.0	7.1	-67	6.5	-13	3.5	68	12.5	35
22.4	7.7	-70	6.7	-16	3.8	75	12.6	35
23.3	7.8	-70	6.6	-17	3.8	76	12.6	35
36.5	7.4	-77	6.6	-24	4.4	85	13.1	36
43.5	7.5	-85	6.5	-27	5.2	86	13.2	36
